%% LaTeX2e file `ImuA.dat'
%% generated by the `filecontents' environment
<<<<<<< Updated upstream
%% from source `tikz/main-figure4' on 2019/06/12.
%%
Time aX aY aZ gX gY gZ
   0.76393   -6.08614   -0.42951   -7.62353   -0.08984    0.11296    0.10305
   0.81041   -6.08136   -0.42473   -7.62593   -0.11274    0.06716    0.08778
   0.85691   -6.08016   -0.44148   -7.62832   -0.12038    0.08243    0.08015
   0.88028   -6.08614   -0.43071   -7.63071   -0.12801    0.08243    0.05725
   0.90310   -6.07538   -0.42473   -7.61755   -0.11274    0.09006    0.08015
   0.92617   -6.07657   -0.44028   -7.63191   -0.10511    0.09770    0.08778
   0.95032   -6.07418   -0.42832   -7.63191   -0.12038    0.08243    0.08015
   0.97303   -6.07179   -0.42592   -7.63191   -0.12801    0.12823    0.09541
   0.99724   -6.06939   -0.43190   -7.63550   -0.12038    0.09006    0.08778
   1.01982   -6.08614   -0.42951   -7.63669   -0.12801    0.09770    0.09541
   1.04269   -6.07777   -0.42712   -7.64148   -0.15091    0.12060    0.09541
   1.11311   -6.08375   -0.42473   -7.64028   -0.12038    0.09770    0.09541
   1.18440   -6.08016   -0.41874   -7.62712   -0.12801    0.12823    0.08015
   1.20729   -6.08016   -0.42233   -7.63191   -0.11274    0.08243    0.08015
   1.25332   -6.08854   -0.42712   -7.63669   -0.12038    0.09770    0.09541
   1.29958   -6.08375   -0.42832   -7.63310   -0.10511    0.07480    0.09541
   1.32309   -6.08734   -0.42832   -7.62593   -0.10511    0.07480    0.09541
   1.34665   -6.08136   -0.42951   -7.63550   -0.11274    0.06716    0.06488
   1.37010   -6.08136   -0.44028   -7.64028   -0.11274    0.06716    0.09541
   1.39329   -6.09093   -0.44028   -7.63191   -0.12801    0.09006    0.07251
   1.41606   -6.09332   -0.42712   -7.64268   -0.08984    0.10533    0.05725
   1.46310   -6.09093   -0.42233   -7.63191   -0.10511    0.12823    0.08015
   1.69557   -6.08973   -0.43669   -7.63430   -0.08984    0.11296    0.08015
   1.74164   -6.07897   -0.43071   -7.62593   -0.12038    0.10533    0.08015
   1.76564   -6.08136   -0.42473   -7.63430   -0.10511    0.11296    0.08015
   1.81208   -6.08136   -0.42592   -7.63430   -0.12801    0.07480    0.08778
   1.83505   -6.08016   -0.43071   -7.63550   -0.10511    0.09006    0.08015
   1.85801   -6.08973   -0.42233   -7.62712   -0.10511    0.08243    0.08778
